id,user_id,client_id,amount,ordered_at,name,email,created_at,updated_at,recency,frequency,monetary,score,kmeans
41147,26,1001,1998.00,"2020-05-03 16:41:25","Kimmie Yoxen",kyoxen1@tuttocitta.it,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,479,1231357,3,4
41149,26,1066,315.00,"2019-05-13 20:25:15","Gard Birdis",gbirdis1u@tripod.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,443,1121075,3,4
41151,26,1044,1274.00,"2020-05-03 04:33:50","Murry Glewe",mglewe18@senate.gov,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,491,1210692,2.7,4
41129,26,1083,1156.00,"2019-10-16 02:44:12","Ulric Loadsman",uloadsman2b@indiegogo.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,501,1251403,2,1
41121,26,1023,1676.00,"2018-10-27 23:07:04","Casey MacGarvey",cmacgarveyn@prlog.org,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,509,1250066,2,1
41161,26,1071,2515.00,"2020-03-05 23:42:00","DebbiO Brian",dobrian1z@dropbox.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,3,487,1205847,3.7,4
41162,26,1099,3001.00,"2018-09-22 19:14:39","Keri Bigglestone",kbigglestone2r@dot.gov,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:07.000000Z,1,476,1240150,3.3,1
41158,26,1085,2589.00,"2019-06-16 20:03:53","Elisabetta Huxley",ehuxley2d@acquirethisname.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,496,1282028,2,1
41141,26,1002,4293.00,"2018-08-25 08:33:58","Filbert Crombleholme",fcrombleholme2@mit.edu,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,510,1247128,2,1
41139,26,1035,1326.00,"2019-08-29 06:50:58","Sapphira Kerrane",skerranez@aol.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,483,1214285,3.7,4
41136,26,1063,293.00,"2019-01-21 01:51:51","Janice Hargey",jhargey1r@goo.ne.jp,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,473,1182420,3,4
41137,26,1036,4800.00,"2019-08-17 01:27:20","Vivien Sansom",vsansom10@shutterfly.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,501,1316637,2,3
41146,26,1034,1408.00,"2018-09-22 05:39:17","Northrop Shewan",nshewany@washington.edu,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,526,1308225,1.3,3
41125,26,1062,4783.00,"2020-05-06 19:30:55","Kalvin Burl",kburl1q@furl.net,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,545,1431759,1,2
41138,26,1059,1586.00,"2020-04-23 06:18:06","Isidore Holligan",iholligan1n@cbsnews.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,500,1256903,3,1
41132,26,1089,3174.00,"2019-02-09 10:45:45","Ulberto Challiner",uchalliner2h@ycombinator.com,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,503,1315344,2,3
41119,26,1007,1258.00,"2018-10-22 14:22:57","Jase Cottel",jcottel7@ucsd.edu,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,2,489,1274924,3.3,1
41150,26,1031,192.00,"2020-04-14 05:12:32","Franky Tear",ftearv@discuz.net,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:05.000000Z,0,486,1198037,3,4
41120,26,1088,4884.00,"2019-04-12 02:33:19","Karrah Tonkinson",ktonkinson2g@pagesperso-orange.fr,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,0,525,1363133,1,3
41122,26,1065,2211.00,"2018-09-28 12:05:18","Lenna Semechik",lsemechik1t@princeton.edu,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,473,1253788,3.3,1
41140,26,1040,4234.00,"2020-03-16 15:21:48","Katerine Halsho",khalsho14@japanpost.jp,2020-05-11T11:20:11.000000Z,2020-05-11T11:32:06.000000Z,1,529,1373126,1.7,3
